GAME_ID,HOME_CLOSING_SPREAD
0022201134,-10.0
0022201140,4.0
0022201138,-5.5
0022201136,13.0
0022201144,-6.0
0022201145,14.5
0022201139,-6.0
0022201137,-10.5
0022201141,-2.0
0022201143,2.0
0022201142,-9.5
0022201146,-2.5
0022201147,-1.75
0022201157,1.5
0022201154,-3.5
0022201151,5.0
0022201159,14.0
0022201158,-18.0
0022201153,1.5
0022201148,11.5
0022201160,-13.5
0022201156,-5.5
0022201149,6.0
0022201150,-4.5
0022201152,-13.5
0022201155,-6.25
0022201161,2.5
0022201162,-4.0
0022201171,12.0
0022201173,-13.0
0022201174,-5.25
0022201172,5.5
0022201166,-19.5
0022201170,-17.0
0022201167,-3.0
0022201175,4.0
0022201163,15.0
0022201164,-7.5
0022201165,1.0
0022201168,-11.5
0022201169,-11.0
0022201186,11.0
0022201177,14.0
0022201179,14.0
0022201180,3.0
0022201184,-18.5
0022201185,-4.0
0022201188,-19.0
0022201182,-6.0
0022201181,-4.0
0022201178,4.0
0022201183,11.5
0022201187,-7.5
0022201176,15.5
0022201196,1.5
0022201189,11.0
0022201190,5.0
0022201195,-6.0
0022201193,-5.5
0022201192,1.5
0022201194,-6.5
0022201191,-13.0
0022201198,-2.0
0022201199,-5.5
0022201197,-5.5
0022201201,-13.5
0022201200,7.0
0022201204,4.0
0022201209,-8.0
0022201207,-9.5
0022201205,-11.5
0022201212,-13.0
0022201210,-2.0
0022201211,11.0
0022201202,5.5
0022201206,2.0
0022201208,9.0
0022201203,-6.5
0022201214,15.0
0022201215,-17.0
0022201213,10.0
0022201221,-3.5
0022201219,-5.0
0022201220,-9.5
0022201217,-1.5
